Australia%Australia%Commonwealth Bank of Australia,115694.97,55
Australia%Australia%Westpac Banking,99587.51,70
Australia%Australia%ANZ Banking,84083.08,96
Australia%Australia%National Australia Bank,77357.89,107
Australia%Australia%Telstra,58586.15,161
Australia%Australia%Wesfarmers,43646.15,229
Australia%Australia%Woolworths,41538.24,241
Australia%Australia%CSL,31178.83,341
Australia%Australia%Woodside Petroleum,29796.89,359
Australia%Australia%BHP Billiton,173490.38,30
Australia%Australia%Rio Tinto,104308.75,64
Europe%Belgium%Anheuser-Busch InBev,168640.27,32
Europe%Belgium%KBC Group,25683.78,431
South America%Brazil%Ambev,117679.18,54
South America%Brazil%Petrobras,88517.83,90
South America%Brazil%Itau Unibanco,73339.33,112
South America%Brazil%Vale,71839.32,118
South America%Brazil%Bradesco,60410.51,151
South America%Brazil%Banco Brasil,28952.72,372
South America%Brazil%Cielo,25191.36,440
South America%Brazil%Itausa,23481.02,473
South America%Brazil%Telef Brasil,22854.51,483
South America%Brazil%Banco do Brasil Seguridade,22255.82,497
North America%Canada%Royal Bank Canada,95246.24,77
North America%Canada%Toronto-Dominion Bank,86508.95,91
North America%Canada%Bank of Nova Scotia,70477.26,123
North America%Canada%Suncor Energy,51462.19,188
North America%Canada%Canadian National Railway,46521.64,211
North America%Canada%Valeant Pharmaceuticals International,44125.76,226
North America%Canada%Bank of Montreal,43202.35,231
North America%Canada%Canadian Natural Resources,41868.84,237
North America%Canada%Imperial Oil,39533.19,253
North America%Canada%Enbridge,37829.91,270
North America%Canada%Manulife Financial,35715.06,288
North America%Canada%CIBC,34334.42,299
North America%Canada%BCE,33518.22,312
North America%Canada%Transcanada,32214.76,331
North America%Canada%Potash Corporation of Saskatchewan,30853.72,345
North America%Canada%Husky Energy,29547.31,361
North America%Canada%Thomson Reuters,27929.92,392
North America%Canada%Great West Lifeco,27582.73,397
North America%Canada%Canadian Pacific Railway,26366.02,418
North America%Canada%Brookfield Asset Management,25536.2,434
North America%Canada%Telus,22343.97,495
North America%Canada%Power Financial,22055.44,499
Asia%China%PetroChina,220893.72,16
Asia%China%Industrial & Commercial Bank of China,200179.41,21
Asia%China%China Construction Bank,174465.7,29
Asia%China%Agricultural Bank of China,141661.82,38
Asia%China%Bank of China,118616.69,52
Asia%China%Sinopec,96667.84,74
Asia%China%China Life Insurance,66032,131
Asia%China%Ping An Insurance,54855.46,172
Asia%China%Bank of Communications,46744.78,210
Asia%China%China Shenhua Energy,46493.18,212
Asia%China%China Merchants Bank,40900.16,245
Asia%China%China Minsheng Banking,33621.62,308
Asia%China%China Citic Bank,32332.79,330
Asia%China%Industrial Bank,29169.81,366
Asia%China%Shanghai Pudong Development Bank,29159.11,367
Asia%China%China Pacific Insurance,25884.98,427
Asia%China%Kweichow Moutai,25829.23,429
Asia%China%Saic Motor,24558.36,456
Europe%Denmark%Novo Nordisk,100804.35,68
Europe%Denmark%A P Moller - Maersk,51729.33,185
Europe%Denmark%Danske Bank,28115.33,388
Europe%Finland%Sampo,28996.37,370
Europe%Finland%Nokia,27820.32,393
Europe%France%Total,155984.82,34
Europe%France%Sanofi,138132.75,40
Europe%France%L'Oreal,99197.51,71
Europe%France%BNP Paribas,96085.63,75
Europe%France%LVMH,92323.66,82
Europe%France%EDF,73611.56,111
Europe%France%GDF Suez,66043.04,130
Europe%France%Axa,62904.85,140
Europe%France%Airbus,56144.22,168
Europe%France%Schneider Electric,51365.94,189
Europe%France%Societe Generale,49211.97,200
Europe%France%Vinci,44865.66,222
Europe%France%Danone,44641.85,223
Europe%France%Air Liquide,42409.65,235
Europe%France%Credit Agricole,39459.74,254
Europe%France%Orange,39136.35,257
Europe%France%Vivendi,37332.01,273
Europe%France%Christian Dior,35002.08,293
Europe%France%Saint Gobain,33552.38,311
Europe%France%Pernod-Ricard,30911.15,344
Europe%France%Safran,28904.85,373
Europe%France%Renault,28750.26,378
Europe%France%Carrefour,28033.69,389
Europe%France%Kering,25756.24,430
Europe%France%Unibail-Rodamco,25274.67,438
Europe%France%Michelin,23245.24,478
Europe%France%Natixis,22778.95,484
Europe%France%Lafarge,22456.38,494
Europe%Germany%Volkswagen,119119.78,50
Europe%Germany%Siemens,118567.53,53
Europe%Germany%Bayer,112126.19,57
Europe%Germany%Basf,102105.49,65
Europe%Germany%Daimler,101623.97,66
Europe%Germany%SAP,99642.68,69
Europe%Germany%BMW,81192.22,99
Europe%Germany%Allianz,77544.32,106
Europe%Germany%Deutsche Telekom,72175.35,116
Europe%Germany%Continental,48183,204
Europe%Germany%Deutsche Bank,45764.34,217
Europe%Germany%Henkel,45536.72,220
Europe%Germany%Deutsche Post,45248.09,221
Europe%Germany%Munich Re,39340.66,255
Europe%Germany%E On,39034.53,258
Europe%Germany%Linde,37215.62,275
Europe%Germany%Beiersdorf,24645.43,451
Europe%Germany%RWE,24558.99,455
Europe%Germany%Adidas,22708.58,488
Europe%Germany%Fresenius,22676.2,489
Asia%Hong Kong%China Mobile,184573.44,25
Asia%Hong Kong%Tencent Holdings,129640.51,42
Asia%Hong Kong%CNOOC,67111.78,129
Asia%Hong Kong%Sands China,60242.06,152
Asia%Hong Kong%AIA Group,57137.62,165
Asia%Hong Kong%Hutchison Whampoa,56445.2,167
Asia%Hong Kong%Jardine Matheson,42931.62,233
Asia%Hong Kong%Jardine Strategic,40174.29,248
Asia%Hong Kong%Cheung Kong,38398.49,266
Asia%Hong Kong%Galaxy Entertainment,36765.84,278
Asia%Hong Kong%Sun Hung Kai Properties,33122.29,320
Asia%Hong Kong%China Unicom,31274.65,339
Asia%Hong Kong%Hang Seng Bank,30438.48,349
Asia%Hong Kong%Boc Hong Kong,30122.09,352
Asia%India%Tata Consultancy Services,69961.18,125
Asia%India%Reliance Industries,50367.78,194
Asia%India%ITC,46988.64,208
Asia%India%Oil & Natural Gas,45655.03,219
Asia%India%Infosys Technologies,31408.58,338
Asia%India%HDFC Bank,30079.25,355
Asia%India%ICICI Bank,24078.28,463
Asia%India%State Bank of India,23972.57,466
Asia%India%Housing Development Finance,23096.05,481
Asia%India%Wipro,22296.19,496
Asia%Indonesia%Astra International,26282.22,421
Asia%Indonesia%Bank Central Asia,22775.49,485
Asia%Israel%Teva Pharmaceutical,48971.54,202
Europe%Italy%Eni,91209.19,84
Europe%Italy%Intesa Sanpaolo,55227.97,171
Europe%Italy%Enel,53239.72,178
Europe%Italy%Unicredit,52977.6,179
Europe%Italy%Generali,34717.94,296
Europe%Italy%Luxottica,27636.55,396
Europe%Italy%Tenaris,26049.13,423
Asia%Japan%Toyota Motor,195057.42,23
Asia%Japan%Softbank,90937.02,85
Asia%Japan%Mitsubishi UFJ Financial,77980.75,104
Asia%Japan%NTT DoCoMo,69002.43,127
Asia%Japan%Honda Motor,63919.29,134
Asia%Japan%Japan Tobacco,62921.78,139
Asia%Japan%Nippon Telegraph & Telephone,62019.67,143
Asia%Japan%Sumitomo Mitsui Financial,60538.56,149
Asia%Japan%KDDI,52048.84,184
Asia%Japan%Mizuho Financial Group,48028.61,205
Asia%Japan%Denso,42475.78,234
Asia%Japan%Fanuc,42338.62,236
Asia%Japan%Canon,41326.73,243
Asia%Japan%Nissan Motor,40385.04,247
Asia%Japan%Fast Retailing,38557.71,264
Asia%Japan%Takeda Pharmaceutical,37511.42,271
Asia%Japan%Hitachi,35763.41,286
Asia%Japan%Seven & I Holding,33947.89,303
Asia%Japan%Mitsubishi Estate,33023.33,321
Asia%Japan%Mitsubishi,30762.86,347
Asia%Japan%East Japan Railway,29172.86,365
Asia%Japan%Bridgestone,28896.94,374
Asia%Japan%Yahoo Japan,27980.84,390
Asia%Japan%Panasonic,27940.27,391
Asia%Japan%Astellas Pharma,27155.61,408
Asia%Japan%Mitsui Fudosan,26951.53,411
Asia%Japan%Nippon Steel & Sumitomo Metal,26022.27,425
Asia%Japan%Mitsui,25913.8,426
Asia%Japan%Keyence,25133.13,441
Asia%Japan%Shin-Etsu Chemical,24746.92,446
Asia%Japan%Nomura,24571.86,454
Asia%Japan%Mitsubishi Electric,24227.28,461
Asia%Japan%Central Japan Railway,24123.49,462
Asia%Japan%Tokio Marine,23148.85,480
Asia%Malaysia%Malayan Banking,26286.77,420
South America%Mexico%AMX,45783.34,216
South America%Mexico%Walmex,41799.12,238
South America%Mexico%Femsa,31652.7,335
South America%Mexico%Grupo Mexico,24598.2,452
Europe%Netherlands%ING,54397.23,174
Europe%Netherlands%Asml Holding,41402.04,242
Europe%Netherlands%Heineken,40106.07,249
Europe%Netherlands%Philips Electronics,32966.97,322
Europe%Netherlands%ArcelorMittal,26843.51,412
Europe%Netherlands%Unilever,118795.64,51
Europe%Netherlands%Reed Elsevier,33511.25,313
Europe%Norway%Statoil,90007.87,86
Europe%Norway%Telenor,33615.26,309
Europe%Norway%DNB,28320.79,384
Asia%Qatar%Qatar National Bank,36050.62,284
Asia%Qatar%Industries Qatar,30970.71,343
Europe%Russia%Gazprom,91289.36,83
Europe%Russia%Rosneft,70737.14,122
Europe%Russia%Sberbank of Russia,53397.04,177
Europe%Russia%Lukoil,47443.92,206
Europe%Russia%Surgutneftegas,31864.72,332
Europe%Russia%Novatek,30329.88,350
Europe%Russia%Norilsk Nickel,26412.96,417
Asia%Saudi Arabia%Saudi Basic Industries,93991.13,78
Asia%Saudi Arabia%Saudi Telecom,35196.69,292
Asia%Saudi Arabia%Al Rajhi Bank,29897.18,358
Asia%Singapore%Singapore Telecom,46276.04,214
Asia%Singapore%DBS Group,31511.6,336
Asia%Singapore%United Overseas Bank,27382.29,402
Asia%Singapore%Oversea-Chinese Banking,26023.58,424
Africa%South Africa%Naspers,45926.36,215
Africa%South Africa%MTN Group,38368.38,267
Africa%South Africa%Sasol,36433.68,281
Asia%South Korea%Samsung Electronics,208518.64,18
Asia%South Korea%Hyundai Motor,60521,150
Asia%South Korea%Hyundai Mobis,28806.69,376
Asia%South Korea%Posco,24244.7,459
Asia%South Korea%SK Hynix,24019.17,464
Asia%South Korea%Naver,23968.32,467
Asia%South Korea%Kia Motors,22582.56,491
Europe%Spain%Banco Santander,110277.98,58
Europe%Spain%Inditex,93555.28,79
Europe%Spain%Telefonica,72038.12,117
Europe%Spain%BBVA,70883.78,121
Europe%Spain%Iberdrola,44588.17,224
Europe%Spain%Repsol,33817.23,305
Europe%Spain%CaixaBank,32685.92,325
Europe%Spain%Gas Natural,28149.1,386
Europe%Spain%Bankia,24318.27,457
Europe%Sweden%Hennes & Mauritz,62179.73,141
Europe%Sweden%Nordea Bank,57342.86,164
Europe%Sweden%Ericsson,43763.46,227
Europe%Sweden%Atlas Copco,34836.07,294
Europe%Sweden%Volvo,33866.07,304
Europe%Sweden%TeliaSonera,32591.4,326
Europe%Sweden%Svenska Handelsbanken,31255.58,340
Europe%Sweden%Swedbank,30327.39,351
Europe%Sweden%SEB,29737.73,360
Europe%Sweden%Investor,27486.07,399
Europe%Sweden%Scania,23480.94,474
Europe%Switzerland%Roche,258542.13,9
Europe%Switzerland%Nestle,242954.87,11
Europe%Switzerland%Novartis,229770.37,14
Europe%Switzerland%UBS,79420.57,102
