Aerospace & defence%France%Airbus,56144.22,168
Aerospace & defence%France%Safran,28904.85,373
Aerospace & defence%UK%Rolls-Royce,33667.64,307
Aerospace & defence%US%Boeing,92495.75,81
Aerospace & defence%US%General Dynamics,37477.96,272
Aerospace & defence%US%Lockheed Martin,52117.42,183
Aerospace & defence%US%Northrop Grumman,26741.02,415
Aerospace & defence%US%Precision Castparts,36707.78,279
Aerospace & defence%US%Raytheon,31070.34,342
Aerospace & defence%US%United Technologies,107077.3,62
Automobiles & parts%China%Saic Motor,24558.36,456
Automobiles & parts%France%Michelin,23245.24,478
Automobiles & parts%France%Renault,28750.26,378
Automobiles & parts%Germany%BMW,81192.22,99
Automobiles & parts%Germany%Continental,48183,204
Automobiles & parts%Germany%Daimler,101623.97,66
Automobiles & parts%Germany%Volkswagen,119119.78,50
Automobiles & parts%Indonesia%Astra International,26282.22,421
Automobiles & parts%Japan%Bridgestone,28896.94,374
Automobiles & parts%Japan%Denso,42475.78,234
Automobiles & parts%Japan%Honda Motor,63919.29,134
Automobiles & parts%Japan%Nissan Motor,40385.04,247
Automobiles & parts%Japan%Toyota Motor,195057.42,23
Automobiles & parts%South Korea%Hyundai Mobis,28806.69,376
Automobiles & parts%South Korea%Hyundai Motor,60521,150
Automobiles & parts%South Korea%Kia Motors,22582.56,491
Automobiles & parts%US%Ford Motor,60553.87,148
Automobiles & parts%US%General Motors,54720.51,173
Automobiles & parts%US%Johnson Controls,31421.8,337
Automobiles & parts%US%Tesla Motors,25679.35,432
Banks%Australia%ANZ Banking,84083.08,96
Banks%Australia%Commonwealth Bank of Australia,115694.97,55
Banks%Australia%National Australia Bank,77357.89,107
Banks%Australia%Westpac Banking,99587.51,70
Banks%Belgium%KBC Group,25683.78,431
Banks%Brazil%Banco Brasil,28952.72,372
Banks%Brazil%Bradesco,60410.51,151
Banks%Brazil%Itau Unibanco,73339.33,112
Banks%Canada%Bank of Montreal,43202.35,231
Banks%Canada%Bank of Nova Scotia,70477.26,123
Banks%Canada%CIBC,34334.42,299
Banks%Canada%Royal Bank Canada,95246.24,77
Banks%Canada%Toronto-Dominion Bank,86508.95,91
Banks%China%Agricultural Bank of China,141661.82,38
Banks%China%Bank of China,118616.69,52
Banks%China%Bank of Communications,46744.78,210
Banks%China%China Citic Bank,32332.79,330
Banks%China%China Construction Bank,174465.7,29
Banks%China%China Merchants Bank,40900.16,245
Banks%China%China Minsheng Banking,33621.62,308
Banks%China%Industrial & Commercial Bank of China,200179.41,21
Banks%China%Industrial Bank,29169.81,366
Banks%China%Shanghai Pudong Development Bank,29159.11,367
Banks%Denmark%Danske Bank,28115.33,388
Banks%France%BNP Paribas,96085.63,75
Banks%France%Credit Agricole,39459.74,254
Banks%France%Natixis,22778.95,484
Banks%France%Societe Generale,49211.97,200
Banks%Germany%Deutsche Bank,45764.34,217
Banks%Hong Kong%Boc Hong Kong,30122.09,352
Banks%Hong Kong%Hang Seng Bank,30438.48,349
Banks%India%HDFC Bank,30079.25,355
Banks%India%ICICI Bank,24078.28,463
Banks%India%State Bank of India,23972.57,466
Banks%Indonesia%Bank Central Asia,22775.49,485
Banks%Italy%Intesa Sanpaolo,55227.97,171
Banks%Italy%Unicredit,52977.6,179
Banks%Japan%Mitsubishi UFJ Financial,77980.75,104
Banks%Japan%Mizuho Financial Group,48028.61,205
Banks%Japan%Sumitomo Mitsui Financial,60538.56,149
