North America%US%Apple; Global Rank 1,478766
North America%US%Exxon Mobil; Global Rank 2,422098
North America%US%Microsoft; Global Rank 3,340217
North America%US%Google; Global Rank 4,313004
North America%US%Berkshire Hathaway; Global Rank 5,308091
North America%US%Johnson & Johnson; Global Rank 6,277826
North America%US%Wells Fargo; Global Rank 7,261218
North America%US%General Electric; Global Rank 8,259547
Europe%Switzerland%Roche; Global Rank 9,258542
North America%US%Wal-Mart Stores; Global Rank 10,246806
Europe%Switzerland%Nestle; Global Rank 11,242955
Europe%UK%Royal Dutch Shell; Global Rank 12,238994
North America%US%JP Morgan Chase; Global Rank 13,229898
Europe%Switzerland%Novartis; Global Rank 14,229770
North America%US%Chevron; Global Rank 15,227015
Asia%China%PetroChina; Global Rank 16,220894
North America%US%Procter & Gamble; Global Rank 17,218539
Asia%South Korea%Samsung Electronics; Global Rank 18,208519
North America%US%Pfizer; Global Rank 19,205360
North America%US%IBM; Global Rank 20,200448
Asia%China%Industrial & Commercial Bank of China; Global Rank 21,200179
North America%US%Verizon Communications; Global Rank 22,196940
Asia%Japan%Toyota Motor; Global Rank 23,195057
Europe%UK%HSBC; Global Rank 24,191251
Asia%Hong Kong%China Mobile; Global Rank 25,184573
North America%US%AT&T; Global Rank 26,182604
North America%US%Oracle; Global Rank 27,182413
North America%US%Bank of America; Global Rank 28,181086
Asia%China%China Construction Bank; Global Rank 29,174466
Australia%Australia/UK%BHP Billiton; Global Rank 30,173490
North America%US%Coca-Cola; Global Rank 31,170332
Europe%Belgium%Anheuser-Busch InBev; Global Rank 32,168640
North America%US%Merck; Global Rank 33,166939
Europe%France%Total; Global Rank 34,155985
North America%US%Amazon.com; Global Rank 35,154480
Europe%UK%BP; Global Rank 36,147771
North America%US%Citigroup; Global Rank 37,144627
Asia%China%Agricultural Bank of China; Global Rank 38,141662
North America%US%Walt Disney; Global Rank 39,140287
Europe%France%Sanofi; Global Rank 40,138133
North America%US%Qualcomm; Global Rank 41,133358
Asia%Hong Kong%Tencent Holdings; Global Rank 42,129641
North America%US%Philip Morris International; Global Rank 43,129388
North America%US%Comcast; Global Rank 44,129376
Europe%UK%GlaxoSmithKline; Global Rank 45,128916
North America%US%Intel; Global Rank 46,128347
North America%US%PepsiCo; Global Rank 47,128268
North America%US%Schlumberger; Global Rank 48,127378
North America%US%Facebook; Global Rank 49,119943
Europe%Germany%Volkswagen; Global Rank 50,119120
Europe%Netherlands/UK%Unilever; Global Rank 51,118796
Asia%China%Bank of China; Global Rank 52,118617
Europe%Germany%Siemens; Global Rank 53,118568
South America%Brazil%Ambev; Global Rank 54,117679
Australia%Australia%Commonwealth Bank of Australia; Global Rank 55,115695
North America%US%Cisco Systems; Global Rank 56,115466
Europe%Germany%Bayer; Global Rank 57,112126
Europe%Spain%Banco Santander; Global Rank 58,110278
North America%US%Home Depot; Global Rank 59,109306
North America%US%Gilead Sciences; Global Rank 60,108972
North America%US%Visa; Global Rank 61,108860
North America%US%United Technologies; Global Rank 62,107077
Europe%UK%British American Tobacco; Global Rank 63,104635
Australia%Australia/UK%Rio Tinto; Global Rank 64,104309
Europe%Germany%Basf; Global Rank 65,102105
Europe%Germany%Daimler; Global Rank 66,101624
Asia%Taiwan%Taiwan Semiconductor Manufacturing; Global Rank 67,100899
Europe%Denmark%Novo Nordisk; Global Rank 68,100804
Europe%Germany%SAP; Global Rank 69,99643
Australia%Australia%Westpac Banking; Global Rank 70,99588
Europe%France%L'Oreal; Global Rank 71,99198
Europe%UK%Vodafone Group; Global Rank 72,97107
North America%US%McDonald's; Global Rank 73,97038
Asia%China%Sinopec; Global Rank 74,96668
Europe%France%BNP Paribas; Global Rank 75,96086
North America%US%American Express; Global Rank 76,95397
North America%Canada%Royal Bank Canada; Global Rank 77,95246
Asia%Saudi Arabia%Saudi Basic Industries; Global Rank 78,93991
Europe%Spain%Inditex; Global Rank 79,93555
North America%US%Amgen; Global Rank 80,93123
North America%US%Boeing; Global Rank 81,92496
Europe%France%LVMH; Global Rank 82,92324
Europe%Russia%Gazprom; Global Rank 83,91289
Europe%Italy%Eni; Global Rank 84,91209
Asia%Japan%Softbank; Global Rank 85,90937
Europe%Norway%Statoil; Global Rank 86,90008
North America%US%3M; Global Rank 87,89238
North America%US%CVS Caremark; Global Rank 88,88972
Europe%UK%Lloyds Banking Group; Global Rank 89,88823
South America%Brazil%Petrobras; Global Rank 90,88518
North America%Canada%Toronto-Dominion Bank; Global Rank 91,86509
North America%US%ConocoPhillips; Global Rank 92,86358
North America%US%Bristol Myers Squibb; Global Rank 93,86080
North America%US%Union Pacific; Global Rank 94,85396
North America%US%Mastercard; Global Rank 95,85254
Australia%Australia%ANZ Banking; Global Rank 96,84083
North America%US%Abbvie; Global Rank 97,82037
Europe%UK%AstraZeneca; Global Rank 98,81493
Europe%Germany%BMW; Global Rank 99,81192
North America%US%UnitedHealth Group; Global Rank 100,81104
Europe%UK%SabMiller; Global Rank 101,80216
Europe%Switzerland%UBS; Global Rank 102,79421
North America%US%US Bancorp; Global Rank 103,78008
Asia%Japan%Mitsubishi UFJ Financial; Global Rank 104,77981
Europe%UK%Diageo; Global Rank 105,77907
Europe%Germany%Allianz; Global Rank 106,77544
Australia%Australia%National Australia Bank; Global Rank 107,77358
North America%US%Occidental Petroleum; Global Rank 108,75289
North America%US%Altria Group; Global Rank 109,74592
North America%US%Goldman Sachs; Global Rank 110,74183
Europe%France%EDF; Global Rank 111,73612
South America%Brazil%Itau Unibanco; Global Rank 112,73339
North America%US%Honeywell International; Global Rank 113,72538
North America%US%American International Group; Global Rank 114,72467
North America%US%Biogen Idec; Global Rank 115,72306
Europe%Germany%Deutsche Telekom; Global Rank 116,72175
Europe%Spain%Telefonica; Global Rank 117,72038
South America%Brazil%Vale; Global Rank 118,71839
North America%US%eBay; Global Rank 119,71517
North America%US%Twenty-First Century Fox; Global Rank 120,71470
Europe%Spain%BBVA; Global Rank 121,70884
Europe%Russia%Rosneft; Global Rank 122,70737
North America%Canada%Bank of Nova Scotia; Global Rank 123,70477
North America%US%Viacom; Global Rank 124,70106
Asia%India%Tata Consultancy Services; Global Rank 125,69961
North America%US%United Parcel Service; Global Rank 126,69094
Asia%Japan%NTT DoCoMo; Global Rank 127,69002
Europe%UK%Glencore Xstrata; Global Rank 128,68359
Asia%Hong Kong%CNOOC; Global Rank 129,67112
Europe%France%GDF Suez; Global Rank 130,66043
Asia%China%China Life Insurance; Global Rank 131,66032
North America%US%Eli Lilly; Global Rank 132,65909
North America%US%Las Vegas Sands; Global Rank 133,65639
Asia%Japan%Honda Motor; Global Rank 134,63919
Europe%UK%Barclays; Global Rank 135,63660
Europe%UK%BG Group; Global Rank 136,63519
North America%US%Caterpillar; Global Rank 137,63380
North America%US%Walgreen; Global Rank 138,63014
Asia%Japan%Japan Tobacco; Global Rank 139,62922
Europe%France%Axa; Global Rank 140,62905
Europe%Sweden%Hennes & Mauritz; Global Rank 141,62180
North America%US%Priceline.com; Global Rank 142,62148
Asia%Japan%Nippon Telegraph & Telephone; Global Rank 143,62020
North America%US%Medtronic; Global Rank 144,61590
North America%US%E I Du Pont de Nemours; Global Rank 145,61482
North America%US%Morgan Stanley; Global Rank 146,61481
North America%US%Hewlett-Packard; Global Rank 147,61326
North America%US%Ford Motor; Global Rank 148,60554
Asia%Japan%Sumitomo Mitsui Financial; Global Rank 149,60539
Asia%South Korea%Hyundai Motor; Global Rank 150,60521
South America%Brazil%Bradesco; Global Rank 151,60411
Asia%Hong Kong%Sands China; Global Rank 152,60242
Europe%Switzerland%ABB; Global Rank 153,59746
North America%US%Monsanto; Global Rank 154,59719
North America%US%Metlife; Global Rank 155,59492
North America%US%Colgate-Palmolive; Global Rank 156,59464
North America%US%Abbott Laboratories; Global Rank 157,59424
North America%US%Dow Chemical; Global Rank 158,58769
North America%US%Mondelez International; Global Rank 159,58769
Europe%UK%Reckitt Benckiser; Global Rank 160,58683
Australia%Australia%Telstra; Global Rank 161,58586
North America%US%Time Warner; Global Rank 162,58318
North America%US%Express Scripts; Global Rank 163,58233
Europe%Sweden%Nordea Bank; Global Rank 164,57343
Asia%Hong Kong%AIA Group; Global Rank 165,57138
North America%US%Celgene; Global Rank 166,56680
Asia%Hong Kong%Hutchison Whampoa; Global Rank 167,56445
Europe%France%Airbus; Global Rank 168,56144
North America%US%EMC; Global Rank 169,55571
North America%US%Starbucks; Global Rank 170,55468
Europe%Italy%Intesa Sanpaolo; Global Rank 171,55228
Asia%China%Ping An Insurance; Global Rank 172,54855
North America%US%General Motors; Global Rank 173,54721
Europe%Netherlands%ING; Global Rank 174,54397
Europe%UK%Prudential; Global Rank 175,54151
North America%US%EOG Resources; Global Rank 176,53579
Europe%Russia%Sberbank of Russia; Global Rank 177,53397
Europe%Italy%Enel; Global Rank 178,53240
Europe%Italy%Unicredit; Global Rank 179,52978
North America%US%Blackrock; Global Rank 180,52678
North America%US%Danaher; Global Rank 181,52386
North America%US%Nike; Global Rank 182,52258
North America%US%Lockheed Martin; Global Rank 183,52117
Asia%Japan%KDDI; Global Rank 184,52049
Europe%Denmark%A P Moller - Maersk; Global Rank 185,51729
Europe%Switzerland%Credit Suisse Group; Global Rank 186,51660
North America%US%Simon Property Group; Global Rank 187,51537
North America%Canada%Suncor Energy; Global Rank 188,51462
Europe%France%Schneider Electric; Global Rank 189,51366
Europe%UK%National Grid; Global Rank 190,51121
North America%US%Texas Instruments; Global Rank 191,51015
Europe%UK%Standard Chartered; Global Rank 192,50727
North America%US%Accenture; Global Rank 193,50468
Asia%India%Reliance Industries; Global Rank 194,50368
North America%US%Duke Energy; Global Rank 195,50349
North America%US%Halliburton; Global Rank 196,50108
Europe%UK%BT Group; Global Rank 197,50100
Europe%Switzerland%Richemont; Global Rank 198,49876
North America%US%Lowe's Companies; Global Rank 199,49818
Europe%France%Societe Generale; Global Rank 200,49212
North America%US%Costco Wholesale; Global Rank 201,49126
Asia%Israel%Teva Pharmaceutical; Global Rank 202,48972
North America%US%LyondellBasell Industries; Global Rank 203,48292
Europe%Germany%Continental; Global Rank 204,48183
Asia%Japan%Mizuho Financial Group; Global Rank 205,48029
Europe%Russia%Lukoil; Global Rank 206,47444
North America%US%Thermo Fisher Scientific; Global Rank 207,47109
Asia%India%ITC; Global Rank 208,46989
North America%US%Emerson Electric; Global Rank 209,46959
Asia%China%Bank of Communications; Global Rank 210,46745
North America%Canada%Canadian National Railway; Global Rank 211,46522
Asia%China%China Shenhua Energy; Global Rank 212,46493
North America%US%PNC Financial Services; Global Rank 213,46464
Asia%Singapore%Singapore Telecom; Global Rank 214,46276
Africa%South Africa%Naspers; Global Rank 215,45926
South America%Mexico%AMX; Global Rank 216,45783
Europe%Germany%Deutsche Bank; Global Rank 217,45764
Europe%Switzerland%Zurich Financial Services; Global Rank 218,45746
